Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES
Row82,CHEMBL1771791,9g,IP,=,104,nM,CHEMBL1770115,O=C([O-])c1cn(Cc2ccc3[nH]ncc3c2)c2cccc(F)c2c1=O
Row83,CHEMBL1771791,9g,IP,=,104,nM,CHEMBL1770115,O=C(O)c1cn(Cc2ccc3[nH]ncc3c2)c2cccc(F)c2c1=O
Row84,CHEMBL1800283,4u,IP,=,244,nM,CHEMBL1799933,N#CC1(c2cc(F)ccn2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row85,CHEMBL1800283,4u,IP,=,244,nM,CHEMBL1799933,N#CC1(c2cc(F)ccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row86,CHEMBL1800284,4v,IP,=,224,nM,CHEMBL1799933,COc1ccnc(C2(C#N)CC[NH+](Cc3cc(C(=O)[O-])c(=O)n4ccccc34)CC2)c1
Row87,CHEMBL1800284,4v,IP,=,224,nM,CHEMBL1799933,COc1ccnc(C2(C#N)CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)c1
Row88,CHEMBL1800285,4i,IP,=,135,nM,CHEMBL1799933,N#CC1(c2ccccn2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row89,CHEMBL1800285,4i,IP,=,135,nM,CHEMBL1799933,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row90,CHEMBL1800879,4a,IP,=,151,nM,CHEMBL1799933,N#CC1(c2ccccc2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row91,CHEMBL1800879,4a,IP,=,151,nM,CHEMBL1799933,N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row92,CHEMBL1800881,4c,IP,=,81,nM,CHEMBL1799933,N#CC1(c2ccccc2F)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row93,CHEMBL1800881,4c,IP,=,81,nM,CHEMBL1799933,N#CC1(c2ccccc2F)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row94,CHEMBL1800883,4e,IP,=,194,nM,CHEMBL1799933,N#CC1(c2ccc(F)cc2)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row95,CHEMBL1800883,4e,IP,=,194,nM,CHEMBL1799933,N#CC1(c2ccc(F)cc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row96,CHEMBL1800884,4f,IP,=,68,nM,CHEMBL1799933,Cc1ccccc1C1(C#N)CC[NH+](Cc2cc(C(=O)[O-])c(=O)n3ccccc23)CC1
Row97,CHEMBL1800884,4f,IP,=,68,nM,CHEMBL1799933,Cc1ccccc1C1(C#N)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
Row98,CHEMBL1800885,4g,IP,=,88,nM,CHEMBL1799933,Cc1cccc(C2(C#N)CC[NH+](Cc3cc(C(=O)[O-])c(=O)n4ccccc34)CC2)c1
