Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES,fp2_fp
Row20,CHEMBL1092988,11c,IP,=,250,nM,CHEMBL1156154,Cc1ccn(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4ccncc43)cc2)n1,0000001010010000000000000000000010000000000000000011100000000001100010010000000000110001000000000001000001000000000000010001000000010000000010000001000000000100000000010000000010100000000010000000000000000000000000000000000010000000000000000001000000100000000110000000000000000101011000001000000000001000000000001100001000000111001010001111000000001100000000000000000000000000000000011000000000000000001000100000000000000000000000000000001100000000000100000000000100000000101000001000000000000000000000000000100000011000000000100001100000000000000000011000000000010000000000000000000000000000000000111000000000000010000010001000000000000000100000000000000011000000000000010001000000000000000000000100000000000001100010000100000000000000100100000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000001000010000000110000000000000000010000100000100000110000100000000000100001100000101000000000000100000000100000100000000000000100000100000101100100000001000000000110000000000000000000000000000
Row21,CHEMBL1092988,11c,IP,=,250,nM,CHEMBL1156154,Cc1ccn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4ccncc43)cc2)n1,0000001010010000000000000000000010000000000000000011100000000001100010010000000000110001000000000001000001000000000000010001000000010000000010000001000000000100000000010000000010100000000010000000000000000000000000000000000010000000000000000001000000100000000110000000000000000101011000001000000000001000000000001100001000000111001010001111000000001100000000000000000000000000000000011000000000000000001000100000000000000000000000000000001100000000000100000000000100000000101000001000000000000000000000000000100000011000000000100001100000000000000000011000000000010000000000000000000000000000000000111000000000000010000010001000000000000000100000000000000011000000000000010001000000000000000000000100000000000001100010000100000000000000100100000100000000000100001000000000000000000100000000000000000000000000000000001000000000000000001000010000000110000000000000000010000100000100000110000100000000000100001100000101000000000000100000000100000100000000000000100000100000101100100000001000000000110000000000000000000000000000
Row22,CHEMBL1093212,10y,Activity,=,200,nM,CHEMBL1156223,CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)cn1,0000001000011000000000000000001100000000000000000001100000000001111010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000111000000000000000101000000000000000111000001000000000101011000001100000000001001000000001100001000000101001010001101000000001100000000000101000000000100000000011100000000000100011000100000010100001000000100100000101100010000000100000000000100000001001100001000000100100000001000000000000000011000000000000001100000101000100000001000000001100000000000000000000000001000000000111000000000000010100011001000000000000000100000000000100011000000100000010001100000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000010010000001110000000000000000010001001010100000110000000001000001100001100000101000010000101001000001100010100000100000000100000100000101111100000001100000100111000000000000000000000000000
Row23,CHEMBL1093212,10y,Activity,=,200,nM,CHEMBL1156223,CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)cn1,0000001000011000000000000000001100000000000000000001100000000001111010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000111000000000000000101000000000000000111000001000000000101011000001100000000001001000000001100001000000101001010001101000000001100000000000101000000000100000000011100000000000100011000100000010100001000000100100000101100010000000100000000000100000001001100001000000100100000001000000000000000011000000000000001100000101000100000001000000001100000000000000000000000001000000000111000000000000010100011001000000000000000100000000000100011000000100000010001100000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000010010000001110000000000000000010001001010100000110000000001000001100001100000101000010000101001000001100010100000100000000100000100000101111100000001100000100111000000000000000000000000000
Row24,CHEMBL1093497,10i,Activity,=,420,nM,CHEMBL1156223,Nc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)nc2)c1,0000000000011001000000000000001100000010000000000001000000000001101010010010000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110010000000000000000010000100000000100000000010000000000111000000000000000001010000000000000111001001000000000101010000001000000000001001000000001100011100000101001010001001000000001100000000000101000000000100000000011110000000000000010001100000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000100000011000000001100000000000000000000000001000000000110000100000000010100010001000000000000000100000000000100011000001100000010001100000000000110001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000010010000000110000000000100000010001001010100000110000100000000001100001100000101000010000101001000100100010100000100000000000000000000101111100000001100000000111000000000100000000000000000
Row25,CHEMBL1093497,10i,Activity,=,420,nM,CHEMBL1156223,Nc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)nc2)c1,0000000000011001000000000000001100000010000000000001000000000001101010010010000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110010000000000000000010000100000000100000000010000000000111000000000000000001010000000000000111001001000000000101010000001000000000001001000000001100011100000101001010001001000000001100000000000101000000000100000000011110000000000000010001100000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000100000011000000001100000000000000000000000001000000000110000100000000010100010001000000000000000100000000000100011000001100000010001100000000000110001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000010010000000110000000000100000010001001010100000110000100000000001100001100000101000010000101001000100100010100000100000000000000000000101111100000001100000000111000000000100000000000000000
Row26,CHEMBL1093538,12e,IP,=,340,nM,CHEMBL1156154,Cc1cn(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4cccnc43)cc2)cn1,0000000010000000000000000000000000000000000000000001100000000001100010010000000000110001000001000101000000000000000000010001000000000000000000000001000000000100000000000000000010000000000010000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101010000001100000100000000000000001100001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000000000000100000000010000000000001100000000000100000000000110000000001000001000100000000000000000000000100000011000000000000001100000000000000000010000000000110000000000000000000000000000000001111000000000000010000011001000000000000000100000000000100011000000000000010001100000000000100000000100000000000001100010000000000000000001100000000100000000000100001000000000000000000100001000000000000000000000000000001000000000000000000000010000000110000000000000000010000100000100000100000000000000000100001100000100000000000000100000000100000100000000000000000000000000101100100000001100000000100000000000000000000000000000
Row27,CHEMBL1093538,12e,IP,=,340,nM,CHEMBL1156154,Cc1cn(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccnc43)cc2)cn1,0000000010000000000000000000000000000000000000000001100000000001100010010000000000110001000001000101000000000000000000010001000000000000000000000001000000000100000000000000000010000000000010000000000000000000000000000000000010000000000000000001000000000000000110000000000000000101010000001100000100000000000000001100001000001111001010001011000000001100000000000000000000000000000000011000000000000000000000000000000100000000010000000000001100000000000100000000000110000000001000001000100000000000000000000000100000011000000000000001100000000000000000010000000000110000000000000000000000000000000001111000000000000010000011001000000000000000100000000000100011000000000000010001100000000000100000000100000000000001100010000000000000000001100000000100000000000100001000000000000000000100001000000000000000000000000000001000000000000000000000010000000110000000000000000010000100000100000100000000000000000100001100000100000000000000100000000100000100000000000000000000000000101100100000001100000000100000000000000000000000000000
Row28,CHEMBL1093810,16k,IP,=,500,nM,CHEMBL1156154,CN(C)c1ccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)cn1,0000000000011001010000011000000000000010000000001001000000000001110010010010100000110000000000000001100000001000100000010001000000010001100000000001000000000100000000011010000001000000000010000000100000000000000010000001000011000000000000000101010010000000000110001000000000000111010000001000000010001000000000001000011100001111101010001011000000011101000000000000000000000000000000011010000000000000010000101000010000000000000000000000001000011100000100001000000100000000001000101000000000000000001100000000010000011000000000000001100000100000110000000100110000101000000010000000000010000000100000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000100000000000000111100000000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000010010000110110000000000100000010001000000100000111000100000000000100001100000100000000000100000001101100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
Row29,CHEMBL1093810,16k,IP,=,500,nM,CHEMBL1156154,CN(C)c1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1,0000000000011001010000011000000000000010000000001001000000000001110010010010100000110000000000000001100000001000100000010001000000010001100000000001000000000100000000011010000001000000000010000000100000000000000010000001000011000000000000000101010010000000000110001000000000000111010000001000000010001000000000001000011100001111101010001011000000011101000000000000000000000000000000011010000000000000010000101000010000000000000000000000001000011100000100001000000100000000001000101000000000000000001100000000010000011000000000000001100000100000110000000100110000101000000010000000000010000000100000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000100000000000000111100000000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000010010000110110000000000100000010001000000100000111000100000000000100001100000100000000000100000001101100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
